Time,SurfWaterMass,EruptionRate,TMan,MagMom
1.0,5.361717e-05,3171255000.0,2377.799363,0.0
1.01,5.284155e-05,3157468000.0,2377.56502,0.0
1.02,5.2082e-05,3143761000.0,2377.330946,0.0
1.03,5.133812e-05,3130132000.0,2377.097142,0.0
1.04,5.060953e-05,3116581000.0,2376.863609,0.0
1.05,4.989586e-05,3103106000.0,2376.630348,0.0
1.06,4.919674e-05,3089710000.0,2376.39736,0.0
1.07,4.851181e-05,3076388000.0,2376.164646,0.0
1.08,4.784075e-05,3063142000.0,2375.932208,0.0
1.09,4.718321e-05,3049970000.0,2375.700048,0.0
1.1,4.653888e-05,3036871000.0,2375.468166,0.0
1.11,4.590744e-05,3023847000.0,2375.236566,0.0
1.12,4.528858e-05,3010893000.0,2375.005248,0.0
1.1300000000000001,4.468201e-05,2998012000.0,2374.774215,0.0
1.1400000000000001,4.408745e-05,2985200000.0,2374.543469,0.0
1.1500000000000001,4.350461e-05,2972459000.0,2374.313013,0.0
1.16,4.293321e-05,2959790000.0,2374.082847,0.0
1.17,4.237301e-05,2947189000.0,2373.852975,0.0
1.18,4.182374e-05,2934655000.0,2373.623399,0.0
1.19,4.128514e-05,2922192000.0,2373.39412,0.0
1.2,4.075699e-05,2909795000.0,2373.165141,0.0
1.21,4.023903e-05,2897465000.0,2372.936464,0.0
1.22,3.973104e-05,2885202000.0,2372.708091,0.0
1.23,3.923281e-05,2873006000.0,2372.480025,0.0
1.24,3.87441e-05,2860873000.0,2372.252268,0.0
1.25,3.82647e-05,2848806000.0,2372.024821,0.0
1.26,3.779442e-05,2836805000.0,2371.797688,0.0
1.27,3.733304e-05,2824867000.0,2371.570869,0.0
1.28,3.688038e-05,2812994000.0,2371.344368,0.0
1.29,3.643624e-05,2801185000.0,2371.118185,0.0
1.3,3.600043e-05,2789436000.0,2370.892324,0.0
1.31,3.557278e-05,2777750000.0,2370.666786,0.0
1.32,3.51531e-05,2766126000.0,2370.441573,0.0
1.33,3.474124e-05,2754562000.0,2370.216686,0.0
1.34,3.433701e-05,2743061000.0,2369.992129,0.0
1.35,3.394026e-05,2731619000.0,2369.767902,0.0
1.36,3.355083e-05,2720241000.0,2369.544008,0.0
1.37,3.316856e-05,2708917000.0,2369.320448,0.0
1.3800000000000001,3.279329e-05,2697656000.0,2369.097223,0.0
1.3900000000000001,3.24249e-05,2686453000.0,2368.874337,0.0
1.4000000000000001,3.206322e-05,2675308000.0,2368.651789,0.0
1.41,3.170812e-05,2664223000.0,2368.429582,0.0
1.42,3.135947e-05,2653194000.0,2368.207717,0.0
1.43,3.101712e-05,2642223000.0,2367.986196,0.0
1.44,3.068095e-05,2631306000.0,2367.76502,0.0
1.45,3.035084e-05,2620449000.0,2367.544191,0.0
1.46,3.002665e-05,2609646000.0,2367.32371,0.0
1.47,2.970827e-05,2598902000.0,2367.103578,0.0
1.48,2.939559e-05,2588211000.0,2366.883797,0.0
1.49,2.908847e-05,2577575000.0,2366.664368,0.0
1.5,2.878682e-05,2566992000.0,2366.445291,0.0
1.51,2.849053e-05,2556467000.0,2366.226569,0.0
1.52,2.819948e-05,2545993000.0,2366.008203,0.0
1.53,2.791357e-05,2535575000.0,2365.790192,0.0
1.54,2.76327e-05,2525209000.0,2365.57254,0.0
1.55,2.735677e-05,2514896000.0,2365.355246,0.0
1.56,2.708568e-05,2504636000.0,2365.138311,0.0
1.57,2.681934e-05,2494426000.0,2364.921737,0.0
1.58,2.655765e-05,2484270000.0,2364.705525,0.0
1.59,2.630053e-05,2474164000.0,2364.489675,0.0
1.6,2.604789e-05,2464110000.0,2364.274188,0.0
1.61,2.579963e-05,2454109000.0,2364.059065,0.0
1.62,2.555568e-05,2444154000.0,2363.844307,0.0
1.6300000000000001,2.531595e-05,2434253000.0,2363.629914,0.0
1.6400000000000001,2.508036e-05,2424401000.0,2363.415888,0.0
1.6500000000000001,2.484883e-05,2414597000.0,2363.202229,0.0
1.6600000000000001,2.462129e-05,2404845000.0,2362.988937,0.0
1.67,2.439766e-05,2395139000.0,2362.776013,0.0
1.68,2.417787e-05,2385483000.0,2362.563459,0.0
1.69,2.396184e-05,2375875000.0,2362.351274,0.0
1.7,2.37495e-05,2366315000.0,2362.139459,0.0
1.71,2.354079e-05,2356801000.0,2361.928014,0.0
1.72,2.333564e-05,2347337000.0,2361.71694,0.0
1.73,2.313398e-05,2337918000.0,2361.506238,0.0
1.74,2.293575e-05,2328549000.0,2361.295908,0.0
1.75,2.274088e-05,2319224000.0,2361.08595,0.0
1.76,2.254931e-05,2309945000.0,2360.876365,0.0
1.77,2.236099e-05,2300710000.0,2360.667153,0.0
1.78,2.217586e-05,2291524000.0,2360.458315,0.0
1.79,2.199385e-05,2282382000.0,2360.24985,0.0
1.8,2.181491e-05,2273284000.0,2360.041759,0.0
1.81,2.163898e-05,2264234000.0,2359.834043,0.0
1.82,2.146602e-05,2255225000.0,2359.626702,0.0
1.83,2.129596e-05,2246261000.0,2359.419735,0.0
1.84,2.112877e-05,2237341000.0,2359.213143,0.0
1.85,2.096438e-05,2228465000.0,2359.006927,0.0
1.86,2.080274e-05,2219632000.0,2358.801086,0.0
1.87,2.064382e-05,2210841000.0,2358.595621,0.0
1.8800000000000001,2.048755e-05,2202095000.0,2358.390532,0.0
1.8900000000000001,2.03339e-05,2193389000.0,2358.185818,0.0
1.9000000000000001,2.018282e-05,2184726000.0,2357.981481,0.0
1.9100000000000001,2.003427e-05,2176107000.0,2357.77752,0.0
1.92,1.98882e-05,2167528000.0,2357.573935,0.0
1.93,1.974456e-05,2158988000.0,2357.370726,0.0
1.94,1.960333e-05,2150492000.0,2357.167894,0.0
1.95,1.946444e-05,2142038000.0,2356.965438,0.0
1.96,1.932788e-05,2133624000.0,2356.763358,0.0
1.97,1.919359e-05,2125249000.0,2356.561654,0.0
1.98,1.906155e-05,2116913000.0,2356.360327,0.0
1.99,1.89317e-05,2108621000.0,2356.159377,0.0
2.0,1.880402e-05,2100366000.0,2355.958802,0.0
2.0100000000000002,1.867847e-05,2092151000.0,2355.758604,0.0
2.02,1.855501e-05,2083975000.0,2355.558782,0.0
2.0300000000000002,1.843361e-05,2075838000.0,2355.359336,0.0
2.04,1.831423e-05,2067738000.0,2355.160266,0.0
2.05,1.819685e-05,2059679000.0,2354.961572,0.0
2.06,1.808142e-05,2051656000.0,2354.763253,0.0
2.07,1.796793e-05,2043673000.0,2354.565311,0.0
2.08,1.785633e-05,2035726000.0,2354.367743,0.0
2.09,1.774659e-05,2027817000.0,2354.170551,0.0
2.1,1.763869e-05,2019948000.0,2353.973734,0.0
2.11,1.75326e-05,2012114000.0,2353.777293,0.0
2.12,1.742829e-05,2004314000.0,2353.581226,0.0
2.13,1.732572e-05,1996554000.0,2353.385533,0.0
2.14,1.722487e-05,1988830000.0,2353.190215,0.0
2.15,1.712573e-05,1981143000.0,2352.995272,0.0
2.16,1.702825e-05,1973489000.0,2352.800702,0.0
2.17,1.693241e-05,1965874000.0,2352.606506,0.0
2.18,1.683819e-05,1958292000.0,2352.412684,0.0
2.19,1.674556e-05,1950745000.0,2352.219234,0.0
2.2,1.66545e-05,1943234000.0,2352.026158,0.0
2.21,1.656498e-05,1935758000.0,2351.833455,0.0
2.22,1.647698e-05,1928317000.0,2351.641124,0.0
2.23,1.639048e-05,1920910000.0,2351.449166,0.0
2.24,1.630545e-05,1913538000.0,2351.257579,0.0
2.25,1.622187e-05,1906200000.0,2351.066364,0.0
2.2600000000000002,1.613973e-05,1898894000.0,2350.875521,0.0
2.27,1.605899e-05,1891624000.0,2350.685049,0.0
2.2800000000000002,1.597964e-05,1884385000.0,2350.494947,0.0
2.29,1.590166e-05,1877182000.0,2350.305216,0.0
2.3000000000000003,1.582502e-05,1870010000.0,2350.115855,0.0
2.31,1.574972e-05,1862871000.0,2349.926863,0.0
2.32,1.567572e-05,1855764000.0,2349.738242,0.0
2.33,1.560301e-05,1848691000.0,2349.549989,0.0
2.34,1.553157e-05,1841649000.0,2349.362105,0.0
2.35,1.546139e-05,1834640000.0,2349.17459,0.0
2.36,1.539244e-05,1827663000.0,2348.987443,0.0
2.37,1.53247e-05,1820715000.0,2348.800663,0.0
