_RAJ2000;_DEJ2000;ID;Bmag;e_Bmag;Vmag;e_Vmag;Imag;e_Imag
322.65333;+12.12536;      2;19.514; 0.005;19.021; 0.007;18.411; 0.010
322.65271;+12.04764;      4;19.382; 0.005;17.960; 0.004;16.507; 0.004
322.65312;+12.16878;      6;20.279; 0.009;19.763; 0.011;19.114; 0.014
322.65279;+12.09572;      8;18.317; 0.003;17.506; 0.003;16.808; 0.005
322.65287;+12.12203;      9;21.250; 0.016;20.709; 0.026;19.980; 0.034
322.65258;+12.10200;     10;18.118; 0.002;17.555; 0.003;16.911; 0.004
322.65250;+12.08264;     12;20.074; 0.009;19.521; 0.009;18.999; 0.013
322.65217;+12.12183;     19;20.630; 0.009;20.090; 0.012;19.446; 0.023
322.65217;+12.13333;     20;14.909; 0.002;14.120; 0.002;13.333; 0.003
322.65212;+12.13847;     21;20.950; 0.012;19.378; 0.009;17.174; 0.005
322.65179;+12.08253;     22;19.972; 0.009;19.423; 0.009;18.898; 0.012
322.65146;+12.12981;     25;19.939; 0.007;19.456; 0.009;18.809; 0.011
322.65083;+12.07444;     29;16.258; 0.002;14.967; 0.002;13.675; 0.003
322.65087;+12.10247;     31;20.730; 0.009;20.152; 0.010;19.507; 0.016
322.65083;+12.08892;     32;19.144; 0.008;18.151; 0.005;17.132; 0.008
322.65046;+12.03292;     34;20.441; 0.015;19.836; 0.010;19.246; 0.015
322.65062;+12.12797;     40;20.333; 0.007;19.791; 0.013;19.125; 0.016
322.65062;+12.14250;     42;20.654; 0.009;20.123; 0.012;19.437; 0.019
322.65037;+12.14611;     46;20.934; 0.013;20.385; 0.018;19.612; 0.025
322.65012;+12.08822;     47;14.674; 0.002;13.738; 0.002;12.979; 0.004
322.65004;+12.12742;     49;19.333; 0.004;18.832; 0.006;18.186; 0.006
322.64967;+12.10514;     53;20.699; 0.008;19.205; 0.005;17.363; 0.005
322.64967;+12.12319;     54;20.646; 0.009;19.631; 0.010;18.476; 0.009
322.64967;+12.11864;     55;20.456; 0.009;19.940; 0.012;19.319; 0.017
322.64921;+12.15253;     58;19.972; 0.008;19.483; 0.009;18.851; 0.013
322.64867;+12.05897;     59;18.810; 0.004;17.745; 0.004;16.728; 0.004
322.64842;+12.16914;     62;21.158; 0.015;20.568; 0.021;19.831; 0.026
322.64746;+12.08128;     65;18.354; 0.003;17.597; 0.004;16.847; 0.006
322.64775;+12.13503;     67;20.919; 0.012;20.353; 0.018;19.667; 0.023
322.64779;+12.17342;     69;18.778; 0.004;17.968; 0.005;17.119; 0.004
322.64771;+12.16042;     70;21.077; 0.015;20.481; 0.018;19.702; 0.027
322.64725;+12.11514;     74;14.752; 0.001;13.493; 0.002;12.216; 0.004
322.64737;+12.17361;     76;20.596; 0.014;19.554; 0.011;18.385; 0.009
322.64708;+12.13625;     77;20.041; 0.006;19.553; 0.009;18.924; 0.012
322.64662;+12.12806;     83;18.993; 0.004;18.378; 0.005;17.603; 0.005
322.64604;+12.07614;     88;19.429; 0.006;18.876; 0.007;18.340; 0.008
322.64637;+12.17511;     89;18.343; 0.003;18.122; 0.007;17.820; 0.006
322.64617;+12.15447;     90;18.667; 0.004;17.993; 0.005;17.132; 0.005
322.64562;+12.07050;     92;20.861; 0.019;19.404; 0.009;17.701; 0.006
322.64542;+12.02569;     93;21.096; 0.020;20.412; 0.018;19.876; 0.038
322.64500;+12.09531;     98;21.248; 0.013;20.672; 0.014;19.977; 0.023
322.64458;+12.04794;     99;20.556; 0.014;19.985; 0.014;19.340; 0.018
322.64442;+12.17839;    102;20.092; 0.009;19.566; 0.009;18.944; 0.012
322.64383;+12.15514;    106;20.307; 0.009;19.822; 0.010;19.203; 0.016
322.64362;+12.11458;    107;19.448; 0.004;18.928; 0.006;18.299; 0.008
322.64354;+12.10308;    108;21.230; 0.015;20.567; 0.014;19.855; 0.018
322.64337;+12.14822;    112;21.018; 0.011;20.511; 0.018;19.813; 0.028
322.64325;+12.12317;    113;20.044; 0.006;19.517; 0.008;18.854; 0.012
322.64329;+12.16919;    115;19.809; 0.007;19.300; 0.011;18.684; 0.011
322.64279;+12.11983;    116;18.848; 0.003;17.799; 0.003;16.652; 0.004
322.64287;+12.16500;    117;20.388; 0.018;19.042; 0.017;18.221; 0.016
322.64292;+12.17825;    119;20.891; 0.012;20.338; 0.015;19.628; 0.026
322.64212;+12.10814;    122;20.692; 0.010;20.144; 0.013;19.476; 0.021
322.64217;+12.11747;    123;20.711; 0.010;20.167; 0.013;19.501; 0.023
322.64179;+12.15506;    129;19.172; 0.004;18.622; 0.006;17.924; 0.008
322.64121;+12.05853;    132;19.212; 0.007;18.581; 0.005;17.958; 0.007
322.64112;+12.15211;    135;19.413; 0.006;18.699; 0.005;17.946; 0.008
322.63971;+12.12542;    144;20.965; 0.013;20.395; 0.018;19.748; 0.024
322.63971;+12.17014;    146;21.063; 0.013;20.480; 0.016;19.835; 0.025
322.63917;+12.10272;    147;20.648; 0.008;20.046; 0.009;19.429; 0.015
322.63904;+12.09719;    148;20.989; 0.010;19.903; 0.008;18.782; 0.009
322.63887;+12.11803;    152;21.118; 0.014;20.535; 0.018;19.899; 0.036
322.63837;+12.13906;    156;19.381; 0.005;18.871; 0.006;18.256; 0.007
322.63800;+12.08753;    157;20.926; 0.013;20.298; 0.017;19.747; 0.024
322.63800;+12.08306;    158;21.023; 0.019;20.412; 0.018;19.775; 0.028
322.63746;+12.09486;    161;19.870; 0.005;19.342; 0.005;18.771; 0.009
322.63742;+12.11933;    163;19.413; 0.006;18.897; 0.006;18.251; 0.007
322.63704;+12.04533;    165;20.289; 0.013;19.673; 0.009;19.097; 0.015
322.63712;+12.15411;    168;18.903; 0.004;17.824; 0.005;16.667; 0.004
322.63692;+12.12508;    169;20.433; 0.008;19.897; 0.011;19.228; 0.017
322.63637;+12.10178;    172;19.015; 0.003;18.347; 0.004;17.645; 0.004
322.63542;+12.13161;    187;16.637; 0.002;15.840; 0.002;14.864; 0.003
322.63458;+12.15214;    196;20.075; 0.007;19.591; 0.010;18.956; 0.013
322.63450;+12.14656;    198;19.942; 0.007;19.412; 0.008;18.775; 0.011
322.63379;+12.09197;    202;20.188; 0.006;19.676; 0.007;19.077; 0.014
322.63358;+12.11075;    205;18.650; 0.003;17.953; 0.004;17.213; 0.005
322.63358;+12.11450;    207;20.278; 0.007;19.746; 0.009;19.112; 0.017
322.63362;+12.17783;    210;19.661; 0.005;18.614; 0.006;17.457; 0.005
322.63325;+12.08997;    211;19.405; 0.004;18.738; 0.004;18.001; 0.007
322.63262;+12.03769;    218;17.120; 0.003;15.767; 0.002;14.337; 0.003
322.63283;+12.16528;    221;20.497; 0.009;19.988; 0.013;19.332; 0.018
322.63254;+12.13269;    223;18.892; 0.005;18.237; 0.005;17.391; 0.005
322.63242;+12.14856;    225;15.664; 0.002;14.740; 0.002;13.660; 0.002
322.63225;+12.13892;    227;20.043; 0.006;18.969; 0.007;17.725; 0.005
322.63179;+12.03083;    229;21.182; 0.021;19.287; 0.008;16.355; 0.004
322.63196;+12.07394;    230;20.884; 0.017;20.278; 0.018;19.635; 0.025
322.63200;+12.09442;    232;20.300; 0.007;19.790; 0.009;19.169; 0.012
322.63158;+12.06875;    236;21.248; 0.022;20.609; 0.026;19.895; 0.025
322.63183;+12.17242;    237;21.216; 0.016;20.634; 0.018;19.924; 0.035
322.63171;+12.16569;    238;20.193; 0.009;19.679; 0.009;19.065; 0.016
322.63075;+12.10653;    242;20.609; 0.009;20.030; 0.010;19.417; 0.013
322.63050;+12.06614;    244;19.801; 0.008;19.243; 0.008;18.683; 0.011
322.63025;+12.05550;    245;19.706; 0.009;19.146; 0.008;18.603; 0.010
322.63017;+12.11497;    246;18.450; 0.004;17.744; 0.004;16.872; 0.004
322.63004;+12.11117;    248;18.059; 0.003;17.060; 0.003;15.964; 0.004
322.63012;+12.14614;    249;19.623; 0.005;19.138; 0.007;18.501; 0.010
322.62996;+12.10542;    250;19.762; 0.004;19.237; 0.006;18.685; 0.007
322.62925;+12.02986;    254;19.930; 0.008;19.363; 0.009;18.763; 0.012
322.62933;+12.16669;    263;20.938; 0.013;20.345; 0.016;19.643; 0.021
322.62892;+12.07886;    264;17.656; 0.003;16.747; 0.003;15.915; 0.003
322.62883;+12.07136;    266;19.829; 0.008;19.268; 0.008;18.721; 0.011
322.62912;+12.15361;    267;20.403; 0.009;19.913; 0.011;19.233; 0.016
322.62892;+12.11008;    271;20.682; 0.010;20.145; 0.014;19.480; 0.019
322.62862;+12.11722;    275;19.579; 0.006;19.072; 0.006;18.449; 0.010
322.62858;+12.16600;    276;20.635; 0.009;20.102; 0.014;19.445; 0.022
322.62821;+12.08136;    280;19.397; 0.008;18.583; 0.005;17.851; 0.007
322.62796;+12.05011;    281;17.954; 0.004;17.181; 0.003;16.377; 0.005
322.62808;+12.09753;    282;20.676; 0.008;20.097; 0.010;19.497; 0.015
322.62783;+12.06358;    283;21.132; 0.021;20.476; 0.016;19.815; 0.035
322.62787;+12.07164;    284;21.080; 0.022;20.435; 0.021;19.810; 0.025
322.62733;+12.09164;    292;19.539; 0.004;19.027; 0.005;18.450; 0.007
322.62754;+12.16372;    294;19.848; 0.006;19.370; 0.009;18.746; 0.012
322.62696;+12.05986;    295;15.279; 0.002;14.534; 0.002;13.931; 0.004
322.62708;+12.15550;    299;20.636; 0.011;20.085; 0.014;19.439; 0.020
322.62696;+12.12861;    300;19.395; 0.005;18.883; 0.007;18.256; 0.008
322.62679;+12.12097;    301;18.555; 0.003;17.877; 0.004;17.003; 0.004
322.62662;+12.11861;    304;20.647; 0.014;20.098; 0.024;19.661; 0.032
322.62662;+12.16156;    307;19.153; 0.004;18.561; 0.006;17.830; 0.006
322.62625;+12.07422;    308;18.894; 0.004;18.053; 0.004;17.291; 0.005
322.62658;+12.15606;    309;20.832; 0.011;20.293; 0.017;19.616; 0.023
322.62600;+12.10778;    316;20.687; 0.009;20.117; 0.017;19.425; 0.022
322.62608;+12.14853;    318;14.110; 0.002;13.807; 0.002;13.484; 0.002
322.62592;+12.17761;    322;21.075; 0.015;20.500; 0.017;19.788; 0.023
322.62579;+12.16558;    323;20.056; 0.007;19.572; 0.009;18.902; 0.013
322.62558;+12.11686;    324;20.001; 0.008;19.483; 0.008;18.863; 0.013
322.62517;+12.05214;    327;19.667; 0.007;19.115; 0.007;18.566; 0.009
322.62483;+12.14306;    331;21.103; 0.015;20.568; 0.016;19.774; 0.026
322.62454;+12.13061;    332;20.046; 0.006;19.528; 0.008;18.910; 0.011
322.62446;+12.13331;    334;20.546; 0.010;20.055; 0.013;19.403; 0.021
322.62442;+12.14947;    335;21.031; 0.014;19.686; 0.010;17.984; 0.007
322.62429;+12.11300;    336;20.656; 0.009;20.097; 0.013;19.463; 0.022
322.62425;+12.10642;    337;20.837; 0.011;20.255; 0.011;19.663; 0.016
322.62425;+12.14547;    340;20.850; 0.012;20.304; 0.016;19.639; 0.020
322.62383;+12.17206;    342;19.918; 0.007;19.444; 0.008;18.821; 0.012
322.62358;+12.13725;    344;20.146; 0.008;19.639; 0.009;18.985; 0.013
322.62350;+12.15317;    350;19.624; 0.006;19.155; 0.007;18.552; 0.011
322.62321;+12.11597;    353;20.716; 0.009;20.179; 0.014;19.471; 0.018
322.62287;+12.09378;    356;15.599; 0.001;14.896; 0.002;14.152; 0.002
322.62292;+12.12844;    360;17.221; 0.002;16.486; 0.003;15.659; 0.003
322.62275;+12.09939;    361;20.353; 0.007;19.768; 0.009;19.182; 0.014
322.62242;+12.17733;    366;20.545; 0.009;20.002; 0.013;19.345; 0.016
322.62208;+12.10328;    367;20.948; 0.010;20.383; 0.013;19.717; 0.022
322.62192;+12.17572;    374;20.790; 0.011;20.264; 0.016;19.616; 0.026
322.62154;+12.07658;    375;20.370; 0.012;19.830; 0.014;19.222; 0.015
322.62187;+12.17797;    376;20.573; 0.010;20.083; 0.013;19.361; 0.016
322.62175;+12.14981;    379;13.821; 0.002;12.959; 0.002;12.099; 0.003
322.62129;+12.06333;    382;20.793; 0.017;20.169; 0.014;19.507; 0.019
322.62133;+12.08217;    383;20.634; 0.015;20.061; 0.015;19.505; 0.020
322.62167;+12.17342;    384;16.067; 0.002;15.812; 0.003;15.480; 0.003
322.62146;+12.13225;    386;20.942; 0.012;20.409; 0.015;19.603; 0.023
322.62154;+12.17536;    388;19.306; 0.004;18.795; 0.006;18.003; 0.006
322.62125;+12.12128;    391;19.534; 0.004;18.254; 0.004;16.836; 0.004
322.62129;+12.13939;    393;20.301; 0.009;19.796; 0.011;19.150; 0.014
322.62117;+12.11517;    396;21.162; 0.016;20.587; 0.018;19.811; 0.023
322.62058;+12.13522;    400;21.001; 0.012;20.454; 0.018;19.623; 0.025
322.62021;+12.08269;    403;20.552; 0.014;19.969; 0.014;19.352; 0.019
322.61996;+12.12025;    409;20.855; 0.011;20.292; 0.017;19.617; 0.023
322.62004;+12.15861;    410;19.182; 0.004;18.648; 0.006;17.980; 0.006
322.61967;+12.07742;    412;19.979; 0.009;19.418; 0.009;18.869; 0.013
322.61992;+12.14294;    413;20.140; 0.007;19.665; 0.009;19.018; 0.014
322.61958;+12.11642;    417;19.612; 0.005;19.118; 0.007;18.517; 0.010
322.61962;+12.15319;    421;19.898; 0.006;19.400; 0.008;18.742; 0.012
322.61908;+12.10228;    425;18.605; 0.003;17.898; 0.003;17.062; 0.004
322.61912;+12.12817;    427;20.819; 0.010;20.292; 0.020;19.540; 0.021
322.61858;+12.13928;    434;20.128; 0.009;19.617; 0.010;18.947; 0.010
322.61846;+12.13975;    435;20.845; 0.012;20.318; 0.013;19.615; 0.026
322.61787;+12.02708;    436;20.610; 0.014;20.011; 0.013;19.414; 0.021
322.61771;+12.11528;    440;21.113; 0.013;19.523; 0.011;17.328; 0.005
322.61700;+12.12978;    448;19.227; 0.005;18.677; 0.005;17.968; 0.008
322.61633;+12.02497;    451;21.379; 0.023;20.585; 0.023;19.811; 0.027
322.61617;+12.03233;    454;19.812; 0.007;18.083; 0.004;15.873; 0.003
322.61612;+12.12308;    457;16.218; 0.002;15.669; 0.002;14.987; 0.003
322.61592;+12.10325;    459;20.338; 0.007;19.785; 0.009;19.195; 0.012
322.61596;+12.10369;    460;20.066; 0.006;19.496; 0.007;18.848; 0.009
322.61596;+12.10950;    461;21.189; 0.016;20.602; 0.022;19.817; 0.028
322.61533;+12.08117;    466;21.069; 0.019;20.444; 0.020;19.826; 0.026
322.61533;+12.08989;    467;19.165; 0.004;18.573; 0.006;17.981; 0.007
322.61500;+12.06750;    473;20.226; 0.009;19.658; 0.009;19.087; 0.021
322.61500;+12.07008;    474;16.990; 0.003;15.983; 0.003;15.022; 0.003
322.61467;+12.07800;    480;20.660; 0.017;20.046; 0.013;19.450; 0.020
322.61433;+12.02789;    482;18.079; 0.003;17.132; 0.003;16.258; 0.004
322.61450;+12.11872;    485;20.416; 0.008;19.883; 0.011;19.201; 0.018
322.61408;+12.04617;    488;20.705; 0.014;20.128; 0.017;19.499; 0.020
322.61433;+12.11569;    489;20.098; 0.006;19.597; 0.009;18.931; 0.017
322.61446;+12.14678;    490;20.924; 0.012;20.390; 0.016;19.709; 0.021
322.61421;+12.13694;    494;20.073; 0.007;19.576; 0.009;18.928; 0.011
322.61417;+12.14211;    495;19.518; 0.005;19.090; 0.007;18.599; 0.010
322.61371;+12.06872;    499;19.757; 0.008;19.208; 0.008;18.691; 0.014
322.61412;+12.17731;    500;19.076; 0.005;18.442; 0.004;17.585; 0.005
322.61383;+12.10253;    501;20.768; 0.009;20.218; 0.010;19.456; 0.017
322.61400;+12.16972;    502;20.939; 0.012;20.418; 0.019;19.704; 0.025
322.61379;+12.12544;    503;19.878; 0.006;19.384; 0.008;18.762; 0.010
322.61396;+12.17469;    504;20.271; 0.008;19.767; 0.010;19.149; 0.013
322.61354;+12.09319;    506;20.721; 0.009;19.794; 0.007;18.817; 0.009
322.61337;+12.14408;    509;18.503; 0.003;17.397; 0.004;16.110; 0.004
322.61308;+12.13194;    514;20.530; 0.009;19.995; 0.017;19.312; 0.017
322.61254;+12.02881;    518;19.846; 0.008;19.282; 0.008;18.742; 0.011
322.61279;+12.15614;    520;20.934; 0.011;20.393; 0.013;19.746; 0.024
322.61229;+12.07914;    524;20.773; 0.019;19.726; 0.012;18.700; 0.011
322.61217;+12.06556;    525;20.681; 0.014;20.098; 0.014;19.483; 0.021
322.61250;+12.16267;    526;20.503; 0.010;19.976; 0.012;19.336; 0.025
322.61192;+12.09536;    532;20.055; 0.005;19.535; 0.007;18.950; 0.010
322.61192;+12.11547;    533;20.519; 0.010;19.985; 0.015;19.314; 0.019
322.61171;+12.11775;    535;16.849; 0.002;16.031; 0.002;15.066; 0.003
322.61162;+12.15081;    539;20.496; 0.011;19.921; 0.011;19.278; 0.015
322.61121;+12.05214;    540;20.923; 0.018;20.258; 0.016;19.658; 0.023
322.61100;+12.09203;    545;20.543; 0.007;19.973; 0.009;19.323; 0.013
322.61071;+12.03189;    546;20.282; 0.011;19.094; 0.006;17.935; 0.011
322.61050;+12.02708;    547;19.542; 0.007;18.532; 0.005;17.594; 0.006
322.61083;+12.10733;    548;20.454; 0.033;19.872; 0.040;19.006; 0.046
322.61096;+12.15342;    549;21.356; 0.017;20.724; 0.025;19.981; 0.029
322.61083;+12.17167;    552;19.988; 0.007;19.472; 0.009;18.867; 0.012
322.61021;+12.10650;    558;17.929; 0.012;16.427; 0.006;14.088; 0.003
322.61029;+12.13500;    559;20.848; 0.012;20.277; 0.014;19.485; 0.020
322.61025;+12.15628;    562;17.367; 0.003;17.388; 0.003;17.395; 0.005
322.60967;+12.03450;    563;19.531; 0.006;18.941; 0.006;18.399; 0.008
322.60992;+12.15844;    569;21.032; 0.014;20.455; 0.015;19.705; 0.020
322.60992;+12.16081;    570;19.176; 0.004;18.687; 0.007;18.028; 0.006
322.60937;+12.05606;    574;20.259; 0.010;19.678; 0.011;19.153; 0.016
322.60933;+12.05736;    576;20.748; 0.015;20.143; 0.013;19.561; 0.029
322.60887;+12.15894;    601;17.261; 0.002;16.517; 0.003;15.558; 0.003
322.60879;+12.17094;    610;16.106; 0.002;15.950; 0.003;15.781; 0.003
322.60821;+12.04303;    616;20.788; 0.016;20.176; 0.016;19.549; 0.026
322.60854;+12.13197;    617;20.662; 0.009;20.091; 0.012;19.424; 0.019
322.60842;+12.11847;    618;19.726; 0.006;19.242; 0.007;18.644; 0.010
322.60850;+12.15072;    620;20.023; 0.006;18.784; 0.006;17.334; 0.005
322.60783;+12.07478;    631;19.860; 0.008;18.948; 0.006;18.081; 0.007
322.60796;+12.14211;    635;20.344; 0.008;19.805; 0.010;19.131; 0.015
322.60775;+12.15794;    645;21.026; 0.014;20.525; 0.019;19.854; 0.027
322.60754;+12.14553;    651;21.061; 0.015;20.503; 0.020;19.742; 0.022
322.60721;+12.06642;    653;19.653; 0.007;18.337; 0.005;17.022; 0.004
322.60712;+12.04406;    654;20.793; 0.018;20.157; 0.016;19.612; 0.022
322.60721;+12.07678;    656;21.252; 0.024;20.602; 0.036;19.994; 0.037
322.60754;+12.17086;    657;20.968; 0.016;20.404; 0.018;19.708; 0.028
322.60700;+12.09631;    665;20.389; 0.007;19.837; 0.009;19.277; 0.014
322.60683;+12.08139;    666;16.716; 0.003;15.922; 0.003;15.252; 0.003
322.60667;+12.13506;    674;19.823; 0.005;19.334; 0.009;18.695; 0.011
322.60679;+12.16258;    675;19.474; 0.004;19.001; 0.007;18.346; 0.008
322.60646;+12.12011;    678;13.982; 0.002;13.303; 0.002;12.629; 0.003
322.60608;+12.06375;    682;20.039; 0.008;19.460; 0.009;18.906; 0.012
322.60637;+12.15867;    684;19.768; 0.007;19.281; 0.007;18.663; 0.013
322.60612;+12.12250;    686;19.706; 0.006;19.194; 0.008;18.592; 0.011
322.60558;+12.08722;    694;20.630; 0.011;20.045; 0.014;19.454; 0.022
322.60567;+12.12914;    695;19.922; 0.006;19.422; 0.009;18.784; 0.013
322.60529;+12.04878;    698;20.866; 0.019;20.260; 0.017;19.735; 0.029
322.60525;+12.04936;    700;19.021; 0.005;18.313; 0.005;17.572; 0.006
322.60529;+12.11092;    706;20.585; 0.010;20.087; 0.014;19.363; 0.020
322.60487;+12.06631;    715;18.842; 0.004;18.134; 0.004;17.399; 0.005
322.60529;+12.17678;    716;20.696; 0.009;20.185; 0.014;19.490; 0.020
322.60500;+12.16250;    721;19.114; 0.004;18.542; 0.005;17.791; 0.006
322.60467;+12.15414;    726;17.410; 0.002;16.645; 0.003;15.689; 0.003
322.60437;+12.09161;    727;20.453; 0.008;19.903; 0.009;19.316; 0.014
322.60429;+12.09697;    728;20.973; 0.013;20.353; 0.013;19.668; 0.018
322.60425;+12.09275;    729;20.251; 0.007;19.716; 0.008;19.131; 0.011
322.60442;+12.15542;    730;20.240; 0.007;19.772; 0.011;19.059; 0.014
322.60346;+12.03478;    734;21.070; 0.018;20.440; 0.018;19.761; 0.028
322.60350;+12.09711;    741;19.644; 0.005;18.626; 0.004;17.438; 0.005
322.60350;+12.11483;    743;19.626; 0.005;19.157; 0.008;18.533; 0.010
322.60354;+12.14731;    744;19.732; 0.005;19.262; 0.007;18.660; 0.009
322.60325;+12.15322;    748;17.299; 0.002;16.577; 0.003;15.625; 0.004
322.60325;+12.16733;    749;20.695; 0.012;20.188; 0.016;19.521; 0.020
322.60308;+12.14675;    752;20.192; 0.007;19.696; 0.010;19.017; 0.014
322.60296;+12.13728;    754;20.180; 0.007;19.709; 0.011;19.073; 0.013
322.60258;+12.06244;    755;18.994; 0.005;18.408; 0.005;17.839; 0.008
322.60271;+12.10436;    756;19.896; 0.005;19.354; 0.008;18.719; 0.009
322.60279;+12.16736;    759;19.032; 0.004;18.389; 0.005;17.581; 0.005
322.60258;+12.16300;    767;20.794; 0.010;20.314; 0.016;19.625; 0.020
322.60200;+12.03567;    770;17.230; 0.003;16.379; 0.003;15.516; 0.004
322.60200;+12.04403;    771;18.053; 0.003;17.262; 0.003;16.445; 0.005
322.60225;+12.14417;    775;20.901; 0.011;20.393; 0.016;19.653; 0.023
322.60204;+12.14589;    781;17.520; 0.002;16.451; 0.002;15.392; 0.003
322.60162;+12.05497;    783;19.936; 0.008;18.841; 0.008;17.731; 0.006
322.60179;+12.11289;    784;20.770; 0.009;20.182; 0.015;19.447; 0.016
322.60125;+12.03406;    789;20.585; 0.013;19.088; 0.007;17.380; 0.007
322.60167;+12.14400;    790;19.691; 0.006;19.213; 0.007;18.603; 0.011
322.60137;+12.14661;    794;19.971; 0.006;19.470; 0.009;18.859; 0.012
322.60100;+12.08228;    796;20.658; 0.013;20.057; 0.013;19.468; 0.030
322.60108;+12.11375;    797;20.760; 0.010;20.226; 0.014;19.561; 0.022
322.60117;+12.13861;    799;20.015; 0.006;19.524; 0.008;18.888; 0.012
322.60083;+12.06556;    800;17.176; 0.003;16.524; 0.003;15.904; 0.004
322.60100;+12.16819;    803;20.829; 0.012;20.321; 0.015;19.603; 0.021
322.60071;+12.14239;    805;20.751; 0.010;20.237; 0.015;19.489; 0.021
322.60046;+12.09108;    807;20.944; 0.010;20.408; 0.014;19.778; 0.018
322.60037;+12.09303;    808;20.734; 0.009;20.147; 0.011;19.494; 0.015
322.60058;+12.16881;    809;20.611; 0.010;20.071; 0.012;19.333; 0.017
322.60054;+12.16978;    810;19.974; 0.007;19.494; 0.010;18.821; 0.012
322.60004;+12.02911;    811;20.416; 0.013;19.826; 0.011;19.204; 0.018
322.60037;+12.12589;    812;20.214; 0.008;19.713; 0.011;18.977; 0.018
322.60021;+12.12661;    814;19.228; 0.004;18.671; 0.006;17.951; 0.007
322.60029;+12.16100;    816;19.397; 0.005;18.897; 0.009;18.285; 0.011
322.60025;+12.15711;    818;20.283; 0.009;19.828; 0.010;19.130; 0.013
322.59992;+12.10192;    819;20.501; 0.008;19.953; 0.009;19.335; 0.014
322.60008;+12.14361;    820;19.028; 0.006;18.431; 0.004;17.648; 0.005
322.60008;+12.15408;    821;20.306; 0.009;19.729; 0.010;19.042; 0.013
322.59987;+12.11547;    822;21.098; 0.014;20.510; 0.017;19.874; 0.029
322.60000;+12.17400;    824;20.773; 0.010;20.259; 0.013;19.551; 0.018
322.59992;+12.16939;    826;19.880; 0.006;19.392; 0.007;18.761; 0.013
322.59975;+12.13417;    828;20.486; 0.008;19.953; 0.012;19.305; 0.019
322.59975;+12.15300;    829;20.775; 0.009;20.209; 0.015;19.482; 0.020
322.59967;+12.15083;    831;20.547; 0.009;19.996; 0.013;19.324; 0.018
322.59929;+12.06353;    832;20.003; 0.011;19.461; 0.009;18.920; 0.013
322.59937;+12.10647;    833;20.109; 0.008;19.617; 0.011;18.995; 0.010
322.59887;+12.03031;    837;20.461; 0.011;19.917; 0.014;19.295; 0.021
322.59900;+12.10636;    838;20.066; 0.007;19.569; 0.009;18.906; 0.012
322.59846;+12.03583;    839;16.071; 0.002;15.112; 0.002;14.261; 0.002
322.59879;+12.10942;    842;20.919; 0.012;20.369; 0.018;19.695; 0.023
322.59854;+12.15244;    848;19.512; 0.005;19.047; 0.007;18.433; 0.007
322.59812;+12.11486;    853;20.464; 0.009;19.928; 0.010;19.327; 0.020
322.59804;+12.12075;    854;20.994; 0.014;20.408; 0.018;19.667; 0.021
322.59754;+12.02825;    857;20.299; 0.009;18.995; 0.007;17.616; 0.006
322.59779;+12.10581;    858;20.615; 0.008;20.088; 0.012;19.415; 0.014
322.59787;+12.13669;    860;19.197; 0.005;18.691; 0.005;18.043; 0.007
322.59796;+12.17447;    861;20.457; 0.009;19.907; 0.014;19.236; 0.016
322.59779;+12.13539;    862;18.973; 0.004;18.307; 0.004;17.487; 0.005
322.59746;+12.09892;    864;20.422; 0.008;19.901; 0.009;19.309; 0.014
322.59754;+12.13028;    865;20.105; 0.006;19.569; 0.008;18.958; 0.013
322.59742;+12.15692;    866;20.674; 0.011;20.121; 0.013;19.485; 0.018
322.59675;+12.09819;    870;20.550; 0.008;20.004; 0.009;19.422; 0.014
322.59667;+12.10553;    871;20.601; 0.008;20.030; 0.009;19.374; 0.013
322.59687;+12.16542;    872;19.344; 0.004;18.840; 0.007;18.195; 0.006
322.59633;+12.02614;    873;18.799; 0.004;18.189; 0.007;17.543; 0.006
322.59642;+12.05478;    874;20.414; 0.012;19.852; 0.014;19.241; 0.020
322.59658;+12.11036;    875;19.222; 0.004;17.903; 0.004;16.344; 0.004
322.59642;+12.10422;    876;20.640; 0.008;19.834; 0.009;19.036; 0.011
322.59633;+12.09961;    878;19.149; 0.004;18.581; 0.005;17.898; 0.006
322.59658;+12.16119;    879;20.313; 0.009;19.803; 0.011;19.134; 0.013
322.59617;+12.14089;    883;20.008; 0.006;18.955; 0.007;17.784; 0.006
322.59596;+12.08756;    885;20.947; 0.014;20.350; 0.017;19.661; 0.025
322.59596;+12.13214;    887;20.358; 0.007;19.841; 0.010;19.204; 0.016
322.59592;+12.15897;    891;19.892; 0.006;19.424; 0.015;18.774; 0.011
322.59575;+12.17561;    894;19.202; 0.005;18.660; 0.005;17.977; 0.009
322.59550;+12.10444;    895;19.520; 0.005;19.005; 0.005;18.417; 0.009
322.59533;+12.15242;    904;15.941; 0.002;15.247; 0.002;14.480; 0.003
322.59492;+12.04292;    905;17.014; 0.003;16.251; 0.002;15.550; 0.003
322.59512;+12.11611;    906;20.863; 0.010;20.295; 0.017;19.627; 0.023
322.59471;+12.05486;    912;16.890; 0.003;16.125; 0.003;15.434; 0.004
322.59475;+12.11147;    913;18.206; 0.003;18.275; 0.006;18.391; 0.009
322.59467;+12.09478;    914;18.522; 0.004;17.855; 0.003;17.090; 0.005
322.59454;+12.10253;    916;20.720; 0.010;20.176; 0.012;19.505; 0.016
322.59454;+12.13797;    917;20.037; 0.008;19.423; 0.011;18.861; 0.011
