_RAJ2000;_DEJ2000;ID;Bmag;e_Bmag;Vmag;e_Vmag;Imag;e_Imag
322.50117;+12.12561;5019083;21.540; 0.036;20.975; 0.041;20.444; 0.061
322.50137;+12.17625;5019084;19.590; 0.025;19.145; 0.028;18.581; 0.042
322.50150;+12.22003;5019090;20.520; 0.010;19.997; 0.012;19.223; 0.017
322.50100;+12.07308;5019091;21.201; 0.019;20.576; 0.022;19.795; 0.030
322.50104;+12.09231;5019094;21.540; 0.015;20.919; 0.016;20.099; 0.027
322.50112;+12.12344;5019098;21.704; 0.023;21.082; 0.028;20.265; 0.036
322.50137;+12.18942;5019099;19.866; 0.028;19.625; 0.023;18.749; 0.026
322.50146;+12.21717;5019100;22.305; 0.038;21.595; 0.038;20.667; 0.044
322.50137;+12.19428;5019102;20.014; 0.016;21.069; 0.017;18.917; 0.025
322.50137;+12.19939;5019103;20.415; 0.012;19.972; 0.016;19.246; 0.020
322.50192;+12.34767;5019104;22.396; 0.043;21.653; 0.040;20.772; 0.058
322.50167;+12.28444;5019106;21.425; 0.022;20.807; 0.019;20.056; 0.051
322.50087;+12.04344;5019107;21.566; 0.024;20.935; 0.027;20.236; 0.035
322.50133;+12.18550;5019108;20.049; 0.018;19.663; 0.018;18.983; 0.045
322.50137;+12.19856;5019109;21.076; 0.023;20.603; 0.033;20.039; 0.044
322.50133;+12.19461;5019111;19.466; 0.009;19.032; 0.013;18.315; 0.017
322.50150;+12.23481;5019113;21.033; 0.008;20.464; 0.011;19.778; 0.020
322.50146;+12.22558;5019114;19.041; 0.004;18.427; 0.005;17.600; 0.007
322.50117;+12.14539;5019115;21.086; 0.028;20.656; 0.025;19.922; 0.030
322.50117;+12.14039;5019116;19.136; 0.010;18.638; 0.010;17.897; 0.014
322.50108;+12.11442;5019117;21.512; 0.021;20.968; 0.023;20.165; 0.033
322.50142;+12.22233;5019118;22.235; 0.027;21.538; 0.023;20.504; 0.049
322.50129;+12.18292;5019120;19.614; 0.015;19.139; 0.013;18.290; 0.021
322.50133;+12.19500;5019122;21.829; 0.041;21.000; 0.027;20.146; 0.051
322.50129;+12.18500;5019123;19.326; 0.008;19.476; 0.017;19.366; 0.033
322.50129;+12.18225;5019125;19.721; 0.017;19.279; 0.014;18.017; 0.024
322.50133;+12.20747;5019126;21.796; 0.040;21.111; 0.025;20.374; 0.038
322.50117;+12.15603;5019127;19.311; 0.023;19.220; 0.018;18.502; 0.019
322.50121;+12.16247;5019128;17.692; 0.045;17.030; 0.043;16.336; 0.056
322.50142;+12.22097;5019129;16.087; 0.002;15.763; 0.003;15.460; 0.005
322.50167;+12.30031;5019130;19.719; 0.011;19.237; 0.009;18.625; 0.012
322.50125;+12.17789;5019131;19.642; 0.011;19.267; 0.017;18.415; 0.025
322.50129;+12.19244;5019133;20.627; 0.011;20.134; 0.015;19.446; 0.029
322.50108;+12.13083;5019135;21.864; 0.032;21.377; 0.029;20.535; 0.046
322.50129;+12.18897;5019136;19.729; 0.017;19.280; 0.029;18.551; 0.029
322.50137;+12.21667;5019137;21.753; 0.022;21.160; 0.025;20.422; 0.038
322.50133;+12.20256;5019138;21.146; 0.024;20.582; 0.022;19.885; 0.031
322.50108;+12.12819;5019139;21.620; 0.024;20.953; 0.026;20.087; 0.040
322.50129;+12.20169;5019141;19.388; 0.007;18.907; 0.010;18.234; 0.014
322.50158;+12.28186;5019142;21.807; 0.032;21.129; 0.025;20.285; 0.039
322.50167;+12.30161;5019143;20.851; 0.012;20.299; 0.016;19.620; 0.024
